 101  57.0  -77.0 10 RICHMOND GULF QUE.
 149  81.2  -69.0  3 ARCHER FIORD ELL.             
 5500.0  200.0   50.0    7.4
 6900.0  200.0   88.0   13.1
11000.0  400.0   98.0   14.6
 150  81.5  -65.5  2 C. BAIRD ELL.                 
 7400.0  200.0  102.0   15.2
10800.0  400.0  110.0   16.4
 151  81.7  -66.0  7 DISCOVERY HARBOUR ELL.        
 3900.0  300.0   20.0    3.0
 4600.0  200.0   61.0    9.1
 6500.0  200.0   72.0   10.7
 6800.0  200.0   78.0   11.6
 7000.0  300.0   72.0   10.7
 7400.0  200.0   81.0   12.1
 7800.0  300.0  103.0   15.4
 152  82.5  -63.0  5 ALERT ELL.                    
 1000.0  200.0    2.0    1.0
 2000.0  200.0    5.5    1.0
 4700.0  200.0   23.0    3.4
 5400.0  200.0   35.0    5.2
 7000.0  200.0   65.0   10.0
 153  82.6  -68.0  7 CLEM. MARKHAM INLET ELL.      
 2200.0  200.0    6.0    1.0
 4200.0  200.0   21.0    3.1
 4600.0  200.0   22.5    3.3
 6400.0  200.0   43.0    6.4
 6700.0  200.0   59.0    8.8
 7800.0  300.0   72.0   10.7
 8500.0  300.0   93.0   13.9
 154  83.1  -74.0  4 WARD HUNT IS. ELL.            
 4700.0  200.0    7.0    3.0
 6000.0  200.0   12.0    3.0
 7000.0  200.0   42.0   10.0
 7800.0  300.0   64.0   12.0
 155  82.6  -72.8 10 THORES R. ELL.                
 4000.0  200.0    2.0    5.0
 5700.0  200.0   21.0   15.0
 6500.0  200.0   23.0   15.0
 6900.0  200.0    6.0   10.0
 7100.0  200.0   32.0   15.0
 7300.0  200.0   33.0   15.0
 7800.0  300.0   66.0   10.0
 8000.0  300.0   66.0   10.0
 8200.0  300.0   66.0   10.0
10100.0  400.0   66.0   10.0
 156  82.8  -73.8  5 DISRAELI FIORD ELL.           
 4900.0  200.0   15.0    3.0
 5400.0  200.0    7.0    3.0
 6500.0  200.0   19.0    7.0
 8100.0  300.0   45.0   20.0
 8800.0  300.0   46.0   20.0
 157  83.0  -75.7  1 RAMBOW HILL ELL.              
 6000.0  200.0   33.0    4.9
 158  82.6  -75.7  2 M'CLINTOCK INLET ELL.         
 7800.0  300.0   36.0   10.0
 8900.0  300.0   84.0   12.5
 159  82.0  -85.0  6 PHILLIPS INLET ELL.           
 4300.0  200.0    9.0    1.3
 7100.0  200.0   58.0   15.0
 7500.0  300.0   55.0   15.0
 7800.0  300.0   54.0   15.0
 8000.0  300.0   54.0   15.0
 8300.0  300.0   67.0   20.0
 160  81.6  -60.2  6 HALL LAND GRL.                
 4700.0  200.0   10.0    1.4
 7400.0  200.0  102.0   15.2
 8200.0  300.0   56.0    8.3
 8600.0  300.0   82.0   12.2
 9000.0  300.0  105.0   15.7
 9600.0  300.0  110.0   16.4
 161  76.8  -73.0  2 CAREY IS. GRL.                
 3400.0  200.0    1.5    1.0
 7900.0  300.0   20.0    3.0
 162  68.5  -51.5  4 DISKO BAY GRL.                
 7100.0  200.0   40.0   10.0
 7700.0  300.0   52.0   14.0
 7900.0  300.0   40.0   17.0
 8900.0  300.0   70.0   26.0
 163  67.0  -50.2  9 SONDRE STOMFJORD GRL.         
 5600.0  200.0    5.0    1.0
 5800.0  200.0   11.0    1.6
 6600.0  200.0   20.0    3.0
 7200.0  200.0   42.0    6.2
 7700.0  300.0   59.0    8.8
 8300.0  300.0   95.0   14.2
 8400.0  300.0   92.0   13.7
 8600.0  300.0  105.0   15.7
 8700.0  300.0  115.0   17.2
 164  64.5  -50.5  2 KAPISIGDLIT GRL.              
 4300.0  200.0    8.0    1.1
 7600.0  300.0   40.0   14.0
 165  61.0  -46.7  1 JULIANEHAAB GRL.              
 8000.0  300.0    3.5    1.0
 166  72.0  -26.0  4 SKELDAL GRL.                  
 5700.0  600.0    4.0    1.0
 6900.0  600.0   21.0    6.0
 7800.0  600.0   36.0    5.3
 8800.0  600.0   59.0    8.8
 167  72.0  -24.0  6 MESTERS VIG GRL.              
  700.0  600.0    3.0    1.0
 3000.0  600.0    4.0    1.0
 5600.0  600.0    4.0    1.0
 6900.0  600.0    8.5    1.2
 7500.0  600.0   20.0    3.0
 8000.0  600.0   29.0    4.3
 168  80.1  -20.7  4 K. FREDERICK VIII LAND GRL.   
 3400.0  200.0    7.0    1.0
 5000.0  200.0   21.0    3.1
 6800.0  200.0   41.0    6.1
 7500.0  300.0   67.0   10.0
 169  82.0  -31.0  5 J. BRONLUND FJORD GRL.        
 3300.0  200.0   13.0    1.9
 4100.0  200.0   14.0    2.1
 4500.0  200.0   21.0    3.1
 5900.0  600.0   65.0    9.7
 8600.0  300.0   80.0   11.9
 201  69.0   35.0  1 KOLA BAY USSR.                
 9500.0  300.0   57.0    8.5
 202  70.0   29.0  8 VARANGER FJORD NOR.           
 1000.0  200.0    5.0    1.0
 2000.0  200.0   10.0    1.4
 3000.0  200.0   15.0    2.2
 4000.0  200.0   21.0    3.1
 5000.0  200.0   28.0    4.2
 6000.0  200.0   34.0    5.0
 7000.0  200.0   37.0    5.5
 8000.0  300.0   37.0    5.5
 203  71.0   24.0  5 INGOY NOR.                    
 3000.0  200.0    9.0    1.3
 4000.0  200.0   13.0    1.9
 5000.0  200.0   19.0    2.8
 6000.0  200.0   24.0    3.6
 7000.0  200.0   30.0    4.5
 204  70.0   21.0  5 SKJAEAFASSEN NOR.             
 3000.0  200.0    5.0    1.0
 4000.0  200.0    6.0    1.0
 5000.0  200.0    8.0    1.1
 6000.0  200.0    5.0    1.0
 7000.0  200.0    4.0    1.0
 205  69.5   18.0  6 KVALVIKA NOR.                 
 3000.0  200.0    6.0    1.0
 4000.0  200.0    8.0    1.1
 5000.0  200.0   13.0    1.9
 6000.0  200.0   14.0    2.1
 7000.0  200.0   14.0    2.1
11200.0  400.0   60.0    8.9
 206  69.1   16.0  8 AND FJORD NOR.                
 2200.0  200.0    2.7    1.0
 2700.0  200.0    3.7    1.0
 3100.0  200.0    4.7    1.0
 3400.0  200.0    3.3    1.0
 6100.0  200.0    4.1    1.0
11400.0  400.0   73.0   10.9
11700.0  400.0   73.0   10.9
12800.0  500.0   78.0   11.6
 207  63.8   11.0  8 VERDALSOYA NOR.               
 1800.0  200.0   10.0    1.4
 3900.0  200.0   25.0    3.7
 6000.0  200.0   50.0    7.4
 7400.0  200.0   64.0    9.5
 8100.0  300.0   68.0   10.1
 8800.0  300.0   86.0   12.8
 9000.0  300.0  113.0   16.9
 9900.0  300.0  172.0   25.8
 208  63.6   10.6  9 FROSTA NOR.                   
 4000.0  200.0   26.0    3.9
 6000.0  200.0   43.0    6.4
 8300.0  300.0   72.0   10.7
 8700.0  300.0   91.0   13.6
 9600.0  300.0  109.0   16.3
 9700.0  300.0  119.0   17.8
 9800.0  300.0  142.0   21.2
10300.0  400.0  156.0   23.3
10600.0  400.0  170.0   25.4
 209  63.7    9.6 12 BJUGN NOR.                    
 2500.0  200.0    9.0    1.3
 4000.0  200.0   17.0    2.5
 4800.0  200.0   22.0    3.3
 5200.0  200.0   27.0    4.0
 6100.0  200.0   32.0    4.8
 8800.0  300.0   43.0    6.4
 9200.0  300.0   52.0    7.7
 9400.0  300.0   63.0    9.4
 9700.0  300.0   92.0   13.7
 9900.0  300.0   10.4    1.5
10400.0  400.0  116.0   17.3
11400.0  400.0  118.0   17.6
 210  63.6    8.5  5 FROYA NOR.                    
 4900.0  200.0   15.0    2.2
 5300.0  200.0   14.0    2.1
 9200.0  300.0   28.0    4.2
 9700.0  300.0   39.0    5.8
10300.0  400.0   44.0    6.5
 211  63.4    8.8  6 HITRA NOR.                    
 5200.0  200.0   18.0    2.7
 9700.0  300.0   61.0    9.1
 9800.0  300.0   41.0    6.1
 9900.0  300.0   76.0   11.3
12100.0  400.0   97.0   14.5
12600.0  500.0   97.0   14.5
 212  62.8    8.2  2 TINGVOLL NOR.                 
10600.0  400.0   90.0   13.4
11800.0  400.0  113.0   16.9
 213  62.7    6.2  2 SKULOY NOR.                   
 7300.0  200.0    9.0    1.3
 9500.0  300.0    9.0    1.3
 214  62.4    6.6  4 STETTE NOR.                   
10200.0  400.0   38.0    5.6
10600.0  400.0   39.0    5.8
10800.0  400.0   42.0    6.2
12200.0  700.0   48.0    7.1
 215  62.3    6.2  7 SULA NOR.                     
 4300.0  200.0    7.0    1.0
 7500.0  300.0   13.0    1.9
 8200.0  300.0    7.0    1.0
 8400.0  300.0   10.0    1.4
10000.0  400.0   26.0    3.9
11200.0  400.0   31.0    4.6
11800.0  400.0   35.0    5.2
 216  62.2    5.6  6 LEINOY NOR.                   
10500.0  400.0    6.0    1.0
10900.0  400.0    6.0    1.0
11600.0  400.0    8.5    1.2
12100.0  400.0   17.0    2.5
12300.0  700.0   23.0    3.4
12400.0  400.0   19.0    2.8
 217  62.0    5.3  2 BORGUNDVAG NOR.               
 6200.0  200.0    5.0    1.0
 8400.0  300.0   -2.0    1.0
 218  61.1    6.0  1 SOGNE FJORD NOR.              
10300.0  400.0   20.0    3.0
 219  60.8    5.0  9 FONNES NOR.                   
 1000.0  200.0    1.0    1.0
 2000.0  200.0    2.0    1.0
 3000.0  200.0    5.0    1.0
 4000.0  200.0    7.0    1.0
 5000.0  200.0    9.0    1.3
 6000.0  200.0   10.0    1.4
 7000.0  200.0   14.0    2.1
 8000.0  300.0    8.0    1.1
 9000.0  300.0    5.0    1.0
 220  60.2    5.0  4 BERGEN NOR.                   
 7400.0  200.0   11.4    1.7
 9900.0  300.0   23.6    3.5
10300.0  400.0   32.3    4.8
10900.0  400.0   38.2    5.7
 221  59.0    5.5  7 JAEREN NOR.                   
 1000.0  500.0    1.0    1.0
 2000.0  500.0    1.0    1.0
 3000.0  500.0    2.0    1.0
 4000.0  500.0    4.0    1.0
 8000.0  500.0    4.0    1.0
 9000.0  500.0    1.0    1.0
10000.0  500.0    5.0    1.0
 222  58.0    6.7  9 LISTA NOR.                    
 1000.0  200.0    1.0    1.0
 2000.0  200.0    2.0    1.0
 3000.0  200.0    3.0    1.0
 4000.0  200.0    7.0    1.0
 5000.0  200.0    3.0    1.0
 6000.0  200.0    3.0    1.0
 7000.0  200.0    2.0    1.0
 8000.0  300.0   -8.0    1.1
 9000.0  300.0  -11.0    1.6
 223  58.0    7.7  2 MANDAL NOR.                   
 3100.0  200.0    4.0    1.0
 6800.0  200.0    8.0    1.1
 224  60.0   10.9  4 OSLO NOR.                     
 2500.0  200.0    9.0    1.3
 5000.0  200.0   26.0    3.9
 8200.0  300.0   75.0   11.2
 9500.0  300.0  142.0   21.2
 225  59.5   11.0  4 S. OSTFOLD NOR.               
 2500.0  200.0    8.0    1.1
 5000.0  200.0   20.0    3.0
 8200.0  300.0   60.0    8.9
 9500.0  300.0  115.0   17.2
 226  58.6   11.2  8 FJALLBACKA SWE.               
 1000.0  200.0    6.0    1.0
 2000.0  200.0   10.0    1.4
 3000.0  200.0   17.0    2.5
 4000.0  200.0   23.0    3.4
 5000.0  200.0   30.0    4.5
 6000.0  200.0   38.0    5.6
 7000.0  200.0   47.0    7.0
 8000.0  300.0   57.0    8.5
 227  57.7   11.7  9 GOTEBORG SWE.                 
 1000.0  200.0    1.0    1.0
 2000.0  200.0    6.0    1.0
 3000.0  200.0    9.0    1.3
 4000.0  200.0   13.0    1.9
 5000.0  200.0   17.0    2.5
 6000.0  200.0   23.0    3.4
 7000.0  200.0   24.0    3.6
 8000.0  300.0   18.0    2.7
 9000.0  300.0   19.0    2.8
 228  57.3   12.0  9 ONSALA SWE.                   
 1000.0  200.0    1.0    1.0
 2000.0  200.0    4.0    1.0
 3000.0  200.0    7.0    1.0
 4000.0  200.0   10.0    1.4
 5000.0  200.0    9.0    1.3
 6000.0  200.0   16.0    2.4
 7000.0  200.0   19.0    2.8
 8000.0  300.0   15.0    2.2
 9000.0  300.0    8.0    1.1
 229  56.5   13.0  7 SOBORG SWE.                   
 1000.0  200.0     .5    1.0
 2000.0  200.0    1.2    1.0
 3000.0  200.0    2.0    1.0
 4000.0  200.0    2.6    1.0
 5000.0  200.0    3.2    1.0
 6000.0  200.0    4.0    1.0
 7000.0  200.0    2.6    1.0
 230  55.6   12.9  2 TRELLEBORG SWE.               
 7900.0  300.0   -5.5    1.0
 8100.0  300.0   -3.7    1.0
 231  56.2   16.0  9 E. BLEKINGE SWE.              
 1000.0  200.0    4.0    1.0
 2000.0  200.0    5.0    1.0
 3000.0  200.0    6.0    1.0
 4000.0  200.0    5.0    1.0
 5000.0  200.0    5.0    1.0
 6000.0  200.0   -1.0    1.0
 7000.0  200.0   -2.0    1.0
 7500.0  300.0   -1.3    1.0
 8000.0  300.0   -3.0    1.0
 232  59.3   18.2  5 STOCKHOLM SWE.                
 1900.0  200.0    5.0    1.0
 4200.0  200.0   22.0    3.3
 5000.0  200.0   36.0    5.3
 5200.0  200.0   41.0    6.1
 6200.0  200.0   55.0    8.2
 233  63.0   18.0  7 ANGERMANLAND SWE.             
 1000.0  200.0   11.0    1.6
 2000.0  200.0   26.0    3.9
 3000.0  200.0   40.0    5.9
 4000.0  200.0   57.0    8.5
 5000.0  200.0   78.0   11.6
 6000.0  200.0   97.0   14.5
 7000.0  200.0  125.0   18.7
 234  62.3   21.4  9 KRISTIINANKAUPUNKI FIN.       
 1000.0  200.0   17.0    2.5
 2000.0  200.0   30.0    4.5
 3000.0  200.0   43.0    6.4
 4000.0  200.0   56.0    8.3
 5000.0  200.0   66.0    9.8
 6000.0  200.0   73.0   10.9
 7000.0  200.0   82.0   12.2
 8000.0  300.0  122.0   18.2
 9000.0  300.0  180.0   27.0
 235  60.2   24.9 10 HELSINKI FIN.                 
 1000.0  200.0    6.0    1.0
 2000.0  200.0   10.0    1.4
 3000.0  200.0   17.0    2.5
 4000.0  200.0   20.0    3.0
 5000.0  200.0   23.0    3.4
 6000.0  200.0   22.0    3.3
 7000.0  200.0   38.0    5.6
 8000.0  300.0   31.0    4.6
 9000.0  300.0   49.0    7.3
10000.0  400.0   86.0   12.8
 236  59.0   27.7  1 NARVA ESTONIA                 
 7000.0  200.0    8.5    1.2
 237  59.0   24.5  7 TALLINN ESTONIA               
 6000.0  200.0   11.0    1.6
 6100.0  200.0    6.6    1.0
 7100.0  300.0   23.0    3.4
 7500.0  300.0   12.5    1.8
 8400.0  300.0   17.0    2.5
 9600.0  300.0   10.0    1.4
 9800.0  300.0   10.0    1.4
 238  58.0   22.5  1 SAREMA ESTONIA                
 3900.0  200.0   11.5    1.7
 239  57.5   10.5 12 FREDERIKSHAVN DEN.            
 2000.0  200.0     .5    1.0
 3000.0  200.0    2.0    1.0
 4000.0  200.0    6.0    1.0
 5000.0  200.0   10.0    1.4
 6000.0  200.0   13.0    1.9
 7000.0  200.0   15.0    2.2
11300.0  400.0    6.0    5.0
11700.0  400.0    7.0    5.0
12100.0  400.0   16.0   10.0
12400.0  400.0   16.0   10.0
14000.0  500.0   30.0   10.0
14700.0  500.0   12.0   10.0
 240  55.8   10.9  1 KALUNDBERG DEN.               
 8500.0  300.0  -25.2    3.7
 241  55.3   10.9  2 KORSOR DEN.                   
 7900.0  300.0  -29.0    4.3
 8700.0  300.0  -29.3    4.3
 242  55.0   12.0  7 PRAESTO DEN.                  
 1000.0  200.0    1.0    1.0
 2000.0  200.0    1.0    1.0
 3000.0  200.0     .0    1.0
 4000.0  200.0     .0    1.0
 5000.0  200.0     .0    1.0
